refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment	MetaSRA_timepoint	MetaSRA_timepoint.unit
SRR2182228	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_DKKL1_1		24.0	hour
SRR2182229	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_DKKL1_2		24.0	hour
SRR2182230	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_DKKL1_3		24.0	hour
SRR2182231	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_1		24.0	hour
SRR2182232	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_2		24.0	hour
SRR2182233	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_3		24.0	hour
SRR2182234	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_4		24.0	hour
SRR2182235	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_5		24.0	hour
SRR2182236	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d +1h stress post csds	AMY_Control_28d_3		1.0	hour
SRR2182237	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d +1h stress post csds	AMY_Control_28d1hstress_5		1.0	hour
SRR2182238	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d +1h stress post csds	AMY_Control_28d1hstress_6		1.0	hour
SRR2182239	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d +1h stress post csds	AMY_Control_28d1hstress_7		1.0	hour
SRR2182240	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d +1h stress post csds	AMY_Control_28d1hstress_8		1.0	hour
SRR2182241	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d +1h stress post csds	AMY_Resilient_28d1hstress_5		1.0	hour
SRR2182242	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d +1h stress post csds	AMY_Resilient_28d1hstress_6		1.0	hour
SRR2182243	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d +1h stress post csds	AMY_Resilient_28d1hstress_7		1.0	hour
SRR2182244	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d +1h stress post csds	AMY_Resilient_28d1hstress_8		1.0	hour
SRR2182245	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d +1h stress post csds	AMY_Susceptible_28d1hstress_5		1.0	hour
SRR2182246	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d +1h stress post csds	AMY_Susceptible_28d1hstress_6		1.0	hour
SRR2182247	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d +1h stress post csds	AMY_Susceptible_28d1hstress_7		1.0	hour
SRR2182248	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d +1h stress post csds	AMY_Susceptible_28d1hstress_8		1.0	hour
SRR2182249	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult nucleus accumbens	28d +1h stress post csds	Nac_Control_28d1hstress_5		1.0	hour
SRR2182250	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult nucleus accumbens	28d +1h stress post csds	Nac_Control_28d1hstress_6		1.0	hour
SRR2182251	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult nucleus accumbens	28d +1h stress post csds	Nac_Control_28d1hstress_7		1.0	hour
SRR2182252	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult nucleus accumbens	28d +1h stress post csds	Nac_Control_28d1hstress_8		1.0	hour
SRR2182253	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult nucleus accumbens	28d +1h stress post csds	Nac_Resilient_28d1hstress_5		1.0	hour
SRR2182254	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult nucleus accumbens	28d +1h stress post csds	Nac_Resilient_28d1hstress_6		1.0	hour
SRR2182255	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult nucleus accumbens	28d +1h stress post csds	Nac_Resilient_28d1hstress_7		1.0	hour
SRR2182256	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult nucleus accumbens	28d +1h stress post csds	Nac_Resilient_28d1hstress_8		1.0	hour
SRR2182257	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult nucleus accumbens	28d +1h stress post csds	Nac_Susceptible_28d1hstress_5		1.0	hour
SRR2182258	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult nucleus accumbens	28d +1h stress post csds	Nac_Susceptible_28d1hstress_6		1.0	hour
SRR2182259	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult nucleus accumbens	28d +1h stress post csds	Nac_Susceptible_28d1hstress_7		1.0	hour
SRR2182260	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult nucleus accumbens	28d +1h stress post csds	Nac_Susceptible_28d1hstress_8		1.0	hour
SRR2182261	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult prefrontal cortex	28d +1h stress post csds	PFC_Control_28d1hstress_5		1.0	hour
SRR2182262	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult prefrontal cortex	28d +1h stress post csds	PFC_Control_28d1hstress_6		1.0	hour
SRR2182263	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult prefrontal cortex	28d +1h stress post csds	PFC_Control_28d1hstress_7		1.0	hour
SRR2182264	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult prefrontal cortex	28d +1h stress post csds	PFC_Control_28d1hstress_8		1.0	hour
SRR2182265	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult prefrontal cortex	28d +1h stress post csds	PFC_Resilient_28d1hstress_5		1.0	hour
SRR2182266	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult prefrontal cortex	28d +1h stress post csds	PFC_Resilient_28d1hstress_6		1.0	hour
SRR2182267	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult prefrontal cortex	28d +1h stress post csds	PFC_Resilient_28d1hstress_7		1.0	hour
SRR2182268	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult prefrontal cortex	28d +1h stress post csds	PFC_Resilient_28d1hstress_8		1.0	hour
SRR2182269	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult prefrontal cortex	28d +1h stress post csds	PFC_Susceptible_28d1hstress_5		1.0	hour
SRR2182270	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult prefrontal cortex	28d +1h stress post csds	PFC_Susceptible_28d1hstress_6		1.0	hour
SRR2182271	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult prefrontal cortex	28d +1h stress post csds	PFC_Susceptible_28d1hstress_7		1.0	hour
SRR2182272	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult prefrontal cortex	28d +1h stress post csds	PFC_Susceptible_28d1hstress_8		1.0	hour
SRR2182273	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	28d +1h stress post csds	VHIP_Control_28d1hstress_5		1.0	hour
SRR2182274	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	28d +1h stress post csds	VHIP_Control_28d1hstress_6		1.0	hour
SRR2182275	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	28d +1h stress post csds	VHIP_Control_28d1hstress_7		1.0	hour
SRR2182276	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	28d +1h stress post csds	VHIP_Control_28d1hstress_8		1.0	hour
SRR2182277	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	28d +1h stress post csds	VHIP_Resilient_28d1hstress_5		1.0	hour
SRR2182278	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	28d +1h stress post csds	VHIP_Resilient_28d1hstress_6		1.0	hour
SRR2182279	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	28d +1h stress post csds	VHIP_Resilient_28d1hstress_7		1.0	hour
SRR2182280	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	28d +1h stress post csds	VHIP_Resilient_28d1hstress_8		1.0	hour
SRR2182281	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	28d +1h stress post csds	VHIP_Susceptible_28d1hstress_5		1.0	hour
SRR2182282	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	28d +1h stress post csds	VHIP_Susceptible_28d1hstress_6		1.0	hour
SRR2182283	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	28d +1h stress post csds	VHIP_Susceptible_28d1hstress_7		1.0	hour
SRR2182284	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult ventral hippocampus	28d +1h stress post csds	VHIP_Susceptible_28d1hstress_8		1.0	hour
SRR2182285	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d post csds	AMY_Control_28d_1		28.0	
SRR2182286	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d post csds	AMY_Control_28d_2		28.0	
SRR2182287	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d post csds	AMY_Control_28d_4		28.0	
SRR2182288	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d post csds	AMY_Resilient_28d_1		28.0	
SRR2182289	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d post csds	AMY_Resilient_28d_2		28.0	
SRR2182290	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d post csds	AMY_Resilient_28d_3		28.0	
SRR2182291	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d post csds	AMY_Resilient_28d_4		28.0	
SRR2182292	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d post csds	AMY_Susceptible_28d_1		28.0	
SRR2182293	SRP062829		c57bl/6j						MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	381	Tximport	v1.25.8-hotfix				SRA	brain	adult amygdala	28d post csds	AMY_Susceptible_28d_2		28.0	
