refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment	MetaSRA_timepoint	MetaSRA_timepoint.unit	time_status
SRR2182228	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_DKKL1_1	NA	24	hour	One_Day_After_Defeat
SRR2182229	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_DKKL1_2	NA	24	hour	One_Day_After_Defeat
SRR2182230	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_DKKL1_3	NA	24	hour	One_Day_After_Defeat
SRR2182231	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_1	NA	24	hour	One_Day_After_Defeat
SRR2182232	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_2	NA	24	hour	One_Day_After_Defeat
SRR2182233	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_3	NA	24	hour	One_Day_After_Defeat
SRR2182234	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_4	NA	24	hour	One_Day_After_Defeat
SRR2182235	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_5	NA	24	hour	One_Day_After_Defeat
SRR2182285	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult amygdala	28d post csds	AMY_Control_28d_1	NA	28	NA	One_Month_After_Defeat
SRR2182286	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult amygdala	28d post csds	AMY_Control_28d_2	NA	28	NA	One_Month_After_Defeat
SRR2182287	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult amygdala	28d post csds	AMY_Control_28d_4	NA	28	NA	One_Month_After_Defeat
SRR2182288	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult amygdala	28d post csds	AMY_Resilient_28d_1	NA	28	NA	One_Month_After_Defeat
SRR2182289	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult amygdala	28d post csds	AMY_Resilient_28d_2	NA	28	NA	One_Month_After_Defeat
SRR2182290	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult amygdala	28d post csds	AMY_Resilient_28d_3	NA	28	NA	One_Month_After_Defeat
SRR2182291	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult amygdala	28d post csds	AMY_Resilient_28d_4	NA	28	NA	One_Month_After_Defeat
SRR2182292	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult amygdala	28d post csds	AMY_Susceptible_28d_1	NA	28	NA	One_Month_After_Defeat
SRR2182293	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult amygdala	28d post csds	AMY_Susceptible_28d_2	NA	28	NA	One_Month_After_Defeat
SRR2182294	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult amygdala	28d post csds	AMY_Susceptible_28d_3	NA	28	NA	One_Month_After_Defeat
SRR2182295	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult amygdala	28d post csds	AMY_Susceptible_28d_4	NA	28	NA	One_Month_After_Defeat
SRR2182296	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult nucleus accumbens	28d post csds	Nac_Control_28d_1	NA	28	NA	One_Month_After_Defeat
SRR2182297	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult nucleus accumbens	28d post csds	Nac_Control_28d_2	NA	28	NA	One_Month_After_Defeat
SRR2182298	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult nucleus accumbens	28d post csds	Nac_Control_28d_3	NA	28	NA	One_Month_After_Defeat
SRR2182299	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult nucleus accumbens	28d post csds	Nac_Control_28d_4	NA	28	NA	One_Month_After_Defeat
SRR2182300	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult nucleus accumbens	28d post csds	Nac_Resilient_28d_1	NA	28	NA	One_Month_After_Defeat
SRR2182301	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult nucleus accumbens	28d post csds	Nac_Resilient_28d_2	NA	28	NA	One_Month_After_Defeat
SRR2182302	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult nucleus accumbens	28d post csds	Nac_Resilient_28d_3	NA	28	NA	One_Month_After_Defeat
SRR2182303	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult nucleus accumbens	28d post csds	Nac_Resilient_28d_4	NA	28	NA	One_Month_After_Defeat
SRR2182304	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult nucleus accumbens	28d post csds	Nac_Susceptible_28d_1	NA	28	NA	One_Month_After_Defeat
SRR2182305	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult nucleus accumbens	28d post csds	Nac_Susceptible_28d_2	NA	28	NA	One_Month_After_Defeat
SRR2182306	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult nucleus accumbens	28d post csds	Nac_Susceptible_28d_3	NA	28	NA	One_Month_After_Defeat
SRR2182307	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult nucleus accumbens	28d post csds	Nac_Susceptible_28d_4	NA	28	NA	One_Month_After_Defeat
SRR2182308	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult prefrontal cortex	28d post csds	PFC_Control_28d_1	NA	28	NA	One_Month_After_Defeat
SRR2182309	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult prefrontal cortex	28d post csds	PFC_Control_28d_2	NA	28	NA	One_Month_After_Defeat
SRR2182310	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult prefrontal cortex	28d post csds	PFC_Control_28d_3	NA	28	NA	One_Month_After_Defeat
SRR2182311	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult prefrontal cortex	28d post csds	PFC_Control_28d_4	NA	28	NA	One_Month_After_Defeat
SRR2182312	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult prefrontal cortex	28d post csds	PFC_Resilient_28d_1	NA	28	NA	One_Month_After_Defeat
SRR2182313	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult prefrontal cortex	28d post csds	PFC_Resilient_28d_2	NA	28	NA	One_Month_After_Defeat
SRR2182314	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult prefrontal cortex	28d post csds	PFC_Resilient_28d_3	NA	28	NA	One_Month_After_Defeat
SRR2182315	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult prefrontal cortex	28d post csds	PFC_Resilient_28d_4	NA	28	NA	One_Month_After_Defeat
SRR2182316	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult prefrontal cortex	28d post csds	PFC_Susceptible_28d_1	NA	28	NA	One_Month_After_Defeat
SRR2182317	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult prefrontal cortex	28d post csds	PFC_Susceptible_28d_2	NA	28	NA	One_Month_After_Defeat
SRR2182318	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult prefrontal cortex	28d post csds	PFC_Susceptible_28d_3	NA	28	NA	One_Month_After_Defeat
SRR2182319	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult prefrontal cortex	28d post csds	PFC_Susceptible_28d_4	NA	28	NA	One_Month_After_Defeat
SRR2182320	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	28d post csds	VHIP_Control_28d_1	NA	28	NA	One_Month_After_Defeat
SRR2182321	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	28d post csds	VHIP_Control_28d_2	NA	28	NA	One_Month_After_Defeat
SRR2182322	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	28d post csds	VHIP_Control_28d_3	NA	28	NA	One_Month_After_Defeat
SRR2182323	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	28d post csds	VHIP_Control_28d_4	NA	28	NA	One_Month_After_Defeat
SRR2182324	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	28d post csds	VHIP_Resilient_28d_1	NA	28	NA	One_Month_After_Defeat
SRR2182325	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	28d post csds	VHIP_Resilient_28d_2	NA	28	NA	One_Month_After_Defeat
SRR2182326	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	28d post csds	VHIP_Resilient_28d_3	NA	28	NA	One_Month_After_Defeat
SRR2182327	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	28d post csds	VHIP_Resilient_28d_4	NA	28	NA	One_Month_After_Defeat
SRR2182328	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	28d post csds	VHIP_Susceptible_28d_1	NA	28	NA	One_Month_After_Defeat
SRR2182329	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	28d post csds	VHIP_Susceptible_28d_2	NA	28	NA	One_Month_After_Defeat
SRR2182330	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	28d post csds	VHIP_Susceptible_28d_3	NA	28	NA	One_Month_After_Defeat
SRR2182331	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	28d post csds	VHIP_Susceptible_28d_4	NA	28	NA	One_Month_After_Defeat
